id;adresse
1;12 rue Ledru Rollin
2;65 rue des Bas Rogers
46;51 allée de la pépinière
3;28 rue victor hugo
4;39 AVENUE GEORGES POMPIDOU
5;74 Boulevard Henri Sellier
6;99 RUE de VERDUN
7;8 Bis rue Michelet
9;3 promenade de l'abbaye
10;4 rue de Saint-Cloud
11;32 rue des cottages
13;33 rue Jules Ferry
14;28 avenue Jean Jaurès
15;15 rue Worth
16;21 rue gardenat lapostol
17;13 rue Chevreul
18;25 Avenue Georges Pompidou
19;16 rue Berthelot
20;149 Boulevard Henri Sellier
21;3 Allée des Mouettes
22;20 bis rue ledru Rollin
23;33 rue Roger Salengro
24;14 rue Claude Burgod
25;11 rue Gambetta
26;17 rue de la cerisaie
27;4 rue Georges Appay
28;3 rue du PROFESSEUR LOUIS-RENE NOUGIER
29;4 bis rue du calvaire
30;27 ter rue de Verdun
31;57 rue Jean-Jacques Rousseau
32;57 rue Jean-Jacques Rousseau
33;rue Edouard Nieuport
34;5 Allée Edgar Fournier
35;61 Rue Fernand Forest
36;116 rue carnot
37;12 rue de l'hippodrome
38;9 boulevard Aristide Briand
39;9 boulevard Aristide Briand
40;14 bis rue du ratrait
41;31 rue Benoît Malon
42;14 avenue de la Belle Gabrielle
43;7 rue Honoré d'Estienne d'Orves
44;3 AVENUE JUSTIN GODART
45;7 rue de Saint-Cloud
47;18 boulevard Aristide Briand
48;1 allée Jacques Offenbach
49;14 bis rue des Bartoux
50;36 rue du Docteur Émile Roux
51;16 rue Kellogg
52;69 rue des bas rogers
53;1 avenue justin godart
54;61 rue Roger Salengro
55;17 rue Pasteur
56;41 rue du docteur Magnan
57;3 promenade de l'abbaye
58;34 rue pasteur
59;27 route des fusillés de la Résistance
60;11 ter rue de la liberté
61;9 boulevard Aristide Briand
62;62 rue des moulineaux
63;15 avenue Jean Jaurès
64;24 rue Carnot
65;42 rue Merlin de Thionville
66;33 rue Roger Salengro
67;23 avenue Jean Jaurès
68;54 allée santos dumont
69;6 bis rue de la Liberté
70;6 bis rue de la Liberté
71;10 place Henri IV
72;27 rue Albert Caron
73;33 rue du docteur Magnan
74;35 avenue Jean Jaurès
75;132 BOULEVARD MARECHAL DE LATTRE DE TASSIGNY
76;71 rue Albert Caron
77;63 rue Jean-Jacques Rousseau
78;1 avenue Sisley
79;44 RUE CLUSERET
80;26 BIS RUE DES PUITS
81;20 rue de Sèvres
82;5 allée des primevères
83;5 rue Jean Mace
84;20 rue de la poterie
85;45 rue des Carrières
86;18 avenue Edouard Vaillant
87;17 rue du ratrait
88;2 rue Robert Joyeux
90;4 allée Camille Saint-Saens
91;15 BIS RUE EMILE DUCLAUX
92;10 avenue du maréchal juin
93;46 avenue Franklin Roosevelt
94;149 BOULEVARD HENRI SELLIER
95;9 place du général Leclerc
96;24 rue des Vignes
97;17 rue du Commandant Rivière
98;2 avenue de la criolla
99;9 BIS QUAI LEON BLUM
100;16 rue Gabriel Philippe
101;10 rue Ledru Rollin
102;37 allée de la pépinière
103;3 rue Jacques Decour
104;16 Bis rue du Ratrait
105;70 rue carnot
106;8 rue HUBERT CHARPENTIER
107;58 AVENUE DES LANDES
108;72 rue Pasteur
109;1 rue Diderot
110;55 rue Gardenat Lapostol
111;12 rue de la liberté
112;11 impasse des vignerons
113;9 boulevard Aristide Briand
114;14 allée des Mimosas
115;15 Allée Santos Dumont
116;4 rue Jacques Decour
117;18 rue de sèvres
118;26 bis rue paul bert
119;27 bis rue Albert Caron
120;12 chemin des roses
121;56 rue des Couvaloux
122;57 rue Jean-Jacques Rousseau
123;10 rue de la poterie
124;64 rue des Chênes
125;6 avenue Alexandre Maistrasse
126;12 rue Pagès
127;146 rue Gambetta
128;9 rue Jacques Decour
129;9 chemin de la liberté
130;93 rue Rouget de Lisle
131;65 rue des Bas-Rogers
132;allée santos dumont
133;40 rue des Parigots
134;6 avenue Sisley
135;44 avenue Jean Jaurès
136;13 avenue de l'abbé Saint-Pierre
137;7 avenue Sisley
138;1 allée Santos Dumont
139;28 rue du pas saint-maurice
140;56 rue Danton
141;22 RUE DE LA POTERIE
142;160 rue Gambetta
143;4 bis rue du calvaire
144;69 rue des bas rogers
145;5 allée Louis Chevrolet
146;5 rue du Fécheray
147;27 rue Pierre Dupont
148;18 rue de sèvres
149;32 rue jean-jacques rousseau
150;1 Bis rue Guillaume Lenoir
151;4 avenue Gustave Stresemann
152;3 ALLEE DES LILAS
153;48 rue des cherchevets
154;55 ter Bd Henri Sellier
155;41 rue Jean-Jacques Rousseau
156;4 rue du professeur Louis-René Nougier
157;32 rue des Acquevilles
158;6 bis allée Edgar Fournier
159;62 rue Georges Appay
160;7 domaine des hocquettes
161;6 avenue Justin Godart
162;33 rue pierre dupont
163;25 Avenue Georges Pompidou
164;46 rue Pasteur
165;4 rue de la liberté
166;39 rue des carrières
167;8 allée des violettes
168;47 rue des bartoux
169;15 rue du chemin vert
170;10 Quai Léon Blum
171;40 rue des Parigots
172;46 rue Georges Appay
173;5 rue François Bougault
174;101 rue des chênes
175;71 rue Albert Caron
176;15 allée Santos Dumont
177;5 boulevard Aristide Briand
178;17 rue de Verdun
179;8 rue du Bac
180;19 avenue Edouard Vaillant
181;6 allée des platanes
182;3 ALLEE DES BERGERONNETTES
183;16 rue des Carrières
184;9 rue du Commandant Rivière
185;3 allée du 8 mai 1945
186;24 rue de l'hippodrome
187;45 rue des bourets
188;56 rue des bons raisins
189;74 rue Carnot
190;37 RUE DESBASSAYNS DE RICHEMONT
191;27 RUE DE SEVRES
192;115 rue GAMBETTA
193;47 rue des Bartoux
194;5 avenue georges pompidou
195;3 allée Santos Dumont
196;11 Domaine des Hocquettes
197;2 allée des orangers
198;1 domaine des hocquettes
199;12 rue Kellogg
200;11 rue des bons raisins
201;3 rue Pierre DUPONT
202;57 rue Jean-Jacques Rousseau
203;19 avenue Edouard Vaillant
204;9 boulevard Aristide Briand
205;37 rue des Parigots
206;69 bvd henri Sellier
207;7 bis rue Jean Macé
208;97 rue pasteur
209;48 rue jean-jacques rousseau
210;122 rue de la République
211;13 rue Beausejour
212;33 rue des Parigots
213;4 rue des Parigots
214;94 rue Paul Bert
215;39 rue des moulineaux
216;5 allée des rives de Bagatelle
217;24 rue Ledru Rollin
218;15 rue Benoit Malon
219;75 rue rouget de Lisle
220;7 rue Honoré d'Estienne d'Orves
221;43 Chemin du Syndicat des Cultivateurs
222;21 rue Georges Appay
