id;address;new_address;match
1;12 rue ledru-rollin;12 RUE LEDRU-ROLLIN;False
2;65 rue des bas rogers;65 RUE DES BAS ROGERS;True
46;51 allee de la pepiniere;51 ALLEE DE LA PEPINIERE;True
3;28 rue victor hugo;28 RUE VICTOR HUGO;True
4;39 avenue georges pompidou;39 AVENUE GEORGES POMPIDOU;True
5;74 boulevard henri sellier;74 BOULEVARD HENRI SELLIER;True
6;99 rue verdun;99 RUE VERDUN;False
7;8 bis rue michelet;8 BIS RUE MICHELET;True
8;6 bis;6 BIS;False
9;3 promenade de l'abbaye chez m guillaume capmas;3 PROMENADE DE L'ABBAYE CHEZ M GUILLAUME CAPMAS;False
10;4 rue de saint-cloud;4 RUE DE SAINT-CLOUD;True
11;32 rue des cottages;32 RUE DES COTTAGES;True
13;33 rue jules ferry;33 RUE JULES FERRY;True
14;28 place jean jaures;28 PLACE JEAN JAURES;False
15;15 rue worth;15 RUE WORTH;True
16;21 rue gardenat lapostol;21 RUE GARDENAT LAPOSTOL;True
17;13 rue chevreul;13 RUE CHEVREUL;True
18;25 avenue georges pompidou;25 AVENUE GEORGES POMPIDOU;True
19;16 rue berthelot;16 RUE BERTHELOT;True
20;149 boulevard henri sellier;149 BOULEVARD HENRI SELLIER;True
21;3 allee des mouettes;3 ALLEE DES MOUETTES;True
22;20 bis rue ledru rollin;20 BIS RUE LEDRU ROLLIN;True
23;33 rue roger salengro;33 RUE ROGER SALENGRO;True
24;14 rue claude burgod;14 RUE CLAUDE BURGOD;True
25;11 rue gambetta;11 RUE GAMBETTA;True
26;17 rue de la cerisaie;17 RUE DE LA CERISAIE;True
27;4 rue georges appay;4 RUE GEORGES APPAY;True
28;3 rue louis rene nougier;3 RUE LOUIS RENE NOUGIER;False
29;4 b rue du calvaire;4 B RUE DU CALVAIRE;False
30;27 ter rue de verdun;27 TER RUE DE VERDUN;True
31;57 rue jean-jacques rousseau;57 RUE JEAN-JACQUES ROUSSEAU;True
32;57 rue jean-jacques rousseau;57 RUE JEAN-JACQUES ROUSSEAU;True
33;rue edouard nieuport;RUE EDOUARD NIEUPORT;False
34;5 allee edgar fournier;5 ALLEE EDGAR FOURNIER;True
35;61 rue fernand forest;61 RUE FERNAND FOREST;True
36;116 rue carnot bat c;116 RUE CARNOT BAT C;False
37;12 rue de l'hippodrome;12 RUE DE L'HIPPODROME;True
38;9 boulevard aristide briand;9 BOULEVARD ARISTIDE BRIAND;True
39;9 boulevard aristide briand;9 BOULEVARD ARISTIDE BRIAND;True
40;14 bis rue du ratrait;14 BIS RUE DU RATRAIT;True
41;31 rue benoit malon;31 RUE BENOIT MALON;True
42;14 avenue de la belle gabrielle;14 AVENUE DE LA BELLE GABRIELLE;True
43;7 rue honore d'estienne d'orves;7 RUE HONORE D'ESTIENNE D'ORVES;True
44;3 avenue justin godart;3 AVENUE JUSTIN GODART;True
45;7 rue de saint cloud;7 RUE DE SAINT CLOUD;False
47;18 boulevard aristide briand - bat m;18 BOULEVARD ARISTIDE BRIAND - BAT M;False
48;1 allee jacques offenbach;1 ALLEE JACQUES OFFENBACH;True
49;14 bis rue des bartoux;14 BIS RUE DES BARTOUX;True
50;36 rue du docteur emile roux;36 RUE DU DOCTEUR EMILE ROUX;True
51;16 rue kellog;16 RUE KELLOG;False
52;69 rue des bas rogers;69 RUE DES BAS ROGERS;True
53;1 avenue justin godart;1 AVENUE JUSTIN GODART;True
