"type_voie","determinant","nom","borne_debut","borne_fin","parite","quartier","code_postal","commune","date_mise_a_jour"
"ALLEE","DU","8 MAI 1945",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"PROMENADE","DE L'","ABBAYE",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"AVENUE","DE L'","ABBE SAINT-PIERRE",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"ALLEE","DES","ACACIAS",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE","DES","ACQUEVILLES",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE",NULL,"ALBERT CARON",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE",NULL,"ALBERT CARON",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE",NULL,"ALEXANDRE DARRACQ",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"AVENUE",NULL,"ALEXANDRE MAISTRASSE",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE",NULL,"AMIRAL WILLAUMEZ",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"BOULEVARD",NULL,"ARISTIDE BRIAND",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE",NULL,"ARTHEME GENTEUR",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DU","BAC",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE","DES","BARTOUX",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE","DES","BAS ROGERS",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"RUE","DES","BAS ROGERS",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"ALLEE",NULL,"BASSE DU VILLAGE ANGLAIS",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE",NULL,"BAUDIN",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"ALLEE",NULL,"BEAU SITE",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE",NULL,"BEAUSEJOUR",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE","DU","BEL AIR",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"AVENUE","DE LA","BELLE GABRIELLE",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE","DE","BELLEVUE",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"PLACE","DES","BELS EBATS",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE",NULL,"BENOIT MALON",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"ALLEE","DES","BERGERONNETTES",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE",NULL,"BERTHELOT",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"ALLEE","DES","BOCHOUX",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
