id;input_adr;low_adr;upp_adr;cap_adr
1;61 rue georges appay;61 rue georges appay;61 RUE GEORGES APPAY;61 Rue Georges Appay
2;8 rue des bochoux;8 rue des bochoux;8 RUE DES BOCHOUX;8 Rue des Bochoux
3;129 rue de verdun;129 rue de verdun;129 RUE DE VERDUN;129 Rue de Verdun
4;1 avenue léon bourgeois;1 avenue léon bourgeois;1 AVENUE LÉON BOURGEOIS;1 Avenue Léon Bourgeois
5;39 rue emile zola;39 rue emile zola;39 RUE EMILE ZOLA;39 Rue Emile Zola
6;20 rue carnot;20 rue carnot;20 RUE CARNOT;20 Rue Carnot
7;37 rue rouget de lisle;37 rue rouget de lisle;37 RUE ROUGET DE LISLE;37 Rue Rouget de Lisle
8;22 rue gardenat lapostol;22 rue gardenat lapostol;22 RUE GARDENAT LAPOSTOL;22 Rue Gardenat Lapostol
9;1 rue des cottages;1 rue des cottages;1 RUE DES COTTAGES;1 Rue des Cottages
10;24 rue emilien colin;24 rue emilien colin;24 RUE EMILIEN COLIN;24 Rue Emilien Colin
11;11 rue victor hugo;11 rue victor hugo;11 RUE VICTOR HUGO;11 Rue Victor Hugo
12;12 rue arthème genteur;12 rue arthème genteur;12 RUE ARTHÈME GENTEUR;12 Rue Arthème Genteur
13;24 rue ledru rollin;24 rue ledru rollin;24 RUE LEDRU ROLLIN;24 Rue Ledru Rollin
14;26 rue diderot;26 rue diderot;26 RUE DIDEROT;26 Rue Diderot
15;56 rue danton;56 rue danton;56 RUE DANTON;56 Rue Danton
16;6 allée des maraichers;6 allée des maraichers;6 ALLÉE DES MARAICHERS;6 Allée des Maraichers
17;18 rue edouard nieuport;18 rue edouard nieuport;18 RUE EDOUARD NIEUPORT;18 Rue Edouard Nieuport
18;56 rue danton;56 rue danton;56 RUE DANTON;56 Rue Danton
19;11ter rue de la liberté;11 ter rue de la liberté;11 TER RUE DE LA LIBERTÉ;11 Ter Rue de la Liberté
20;20 rue de locarno;20 rue de locarno;20 RUE DE LOCARNO;20 Rue de Locarno
21;35 rue des cherchevets;35 rue des cherchevets;35 RUE DES CHERCHEVETS;35 Rue des Cherchevets
22;8 rue des acquevilles;8 rue des acquevilles;8 RUE DES ACQUEVILLES;8 Rue des Acquevilles
23;10 allée des mimosas;10 allée des mimosas;10 ALLÉE DES MIMOSAS;10 Allée des Mimosas
24;12 rue du ratrait;12 rue du ratrait;12 RUE DU RATRAIT;12 Rue du Ratrait
25;25 avenue georges pompidou;25 avenue georges pompidou;25 AVENUE GEORGES POMPIDOU;25 Avenue Georges Pompidou
26;45 rue des carrières;45 rue des carrières;45 RUE DES CARRIÈRES;45 Rue des Carrières
27;153 boulevard henri sellier;153 boulevard henri sellier;153 BOULEVARD HENRI SELLIER;153 Boulevard Henri Sellier
28;10 rue émilien colin;10 rue emilien colin;10 RUE EMILIEN COLIN;10 Rue Emilien Colin
29;8 rue rouget de lisle;8 rue rouget de lisle;8 RUE ROUGET DE LISLE;8 Rue Rouget de Lisle
30;40 rue des parigots;40 rue des parigots;40 RUE DES PARIGOTS;40 Rue des Parigots
31;7 rue du mont valérien;7 rue du mont valérien;7 RUE DU MONT VALÉRIEN;7 Rue du Mont Valérien
32;56bis rue du val d'or;56 bis rue du val d'or;56 BIS RUE DU VAL D'OR;56 Bis Rue du Val d'Or
33;65 rue des bas rogers;65 rue des bas rogers;65 RUE DES BAS ROGERS;65 Rue des Bas Rogers
34;65 rue de verdun;65 rue de verdun;65 RUE DE VERDUN;65 Rue de Verdun
35;1 avenue jean jaurès;1 avenue jean jaurès;1 AVENUE JEAN JAURÈS;1 Avenue Jean Jaurès
36;3 rue des velettes;3 rue des velettes;3 RUE DES VELETTES;3 Rue des Velettes
37;6 avenue justin godart;6 avenue justin godart;6 AVENUE JUSTIN GODART;6 Avenue Justin Godart
38;8 bis rue michelet;8 bis rue michelet;8 BIS RUE MICHELET;8 Bis Rue Michelet
39;2 allée des rives de bagatelle;2 allée des rives de bagatelle;2 ALLÉE DES RIVES DE BAGATELLE;2 Allée des Rives de Bagatelle
40;4 allée camille saint-saëns;4 allée camille saint-saëns;4 ALLÉE CAMILLE SAINT-SAËNS;4 Allée Camille Saint Saëns
41;12 rue de verdun;12 rue de verdun;12 RUE DE VERDUN;12 Rue de Verdun
42;15 avenue jean jaurès;15 avenue jean jaurès;15 AVENUE JEAN JAURÈS;15 Avenue Jean Jaurès
43;115 rue gambetta;115 rue gambetta;115 RUE GAMBETTA;115 Rue Gambetta
44;21 rue gardenat lapostol;21 rue gardenat lapostol;21 RUE GARDENAT LAPOSTOL;21 Rue Gardenat Lapostol
45;65 avenue des bas rogers;65 rue des bas rogers;65 RUE DES BAS ROGERS;65 Rue des Bas Rogers
46;119 rue gambetta;119 rue gambetta;119 RUE GAMBETTA;119 Rue Gambetta
47;4ter rue diderot;4 ter rue diderot;4 TER RUE DIDEROT;4 Ter Rue Diderot
